1	343	260	
2	569	168	
3	284	437	
4	510	587	
5	562	719	
6	664	899	
7	890	1040	
8	1196	1973	
9	1820	1735	
10	1652	3006	
11	1474	2964	
12	1789	3649	
13	2493	3894	
14	2346	4576	
15	2631	5772	
16	2891	7179	
17	2720	6751	
18	2909	7739	
19	3377	8647	

2	183	110	
3	236	120	
4	324	107	
5	450	119	
6	483	156	
7	520	162	
8	652	278	
9	848	217	
10	801	211	
11	801	290	
12	887	221	
13	1049	233	
14	982	242	
15	1101	306	
16	1239	266	
17	1398	388	
18	1438	321	
19	1420	318	

2	230	192	
3	278	441	
4	339	627	
5	367	951	
6	489	1205	
7	642	1535	
8	841	1957	
9	1049	2535	
10	1056	3074	
11	847	3845	
12	945	4356	
13	1257	5246	
14	1144	5873	
15	1217	6757	
16	1300	7913	
17	1575	8779	
18	1429	9840	
19	1630	10721	
